Aggregate,Scenario,BM,Label,Mean,Median,p10,p25,p75,p90,Stock
SkeenaWild,LTAvg,Smax,Kitsumk,23292,23111,19339,20714,25570,27874,Kitsumkalum
SkeenaWild,LTAvg,Smax,Lakelse,21341,20808,17134,18594,23437,26228,Lakelse
SkeenaWild,LTAvg,Smax,Alastair,20948,20504,17034,18495,22804,25412,Alastair
SkeenaWild,LTAvg,Smax,Kitwanga,23189,18918,6893,10332,35291,46495,Kitwanga
SkeenaWild,LTAvg,Smax,Morice,16366,15977,13279,14387,17940,19915,Morice
SkeenaWild,LTAvg,Smax,Bear,6267,6167,5175,5601,6836,7529,Bear
SkeenaWild,LTAvg,Smax,Johnston,5655,5785,4963,5452,6010,6131,Johnston
SkeenaWild,LTAvg,Smax,Mcdonell,3516,3456,2935,3145,3794,4205,Mcdonell
SkeenaWild,LTAvg,Smax,Asitka,3090,2030,1142,1410,3803,7029,Asitka
SkeenaWild,LTAvg,Smax,Sustut,1006,982,800,876,1112,1255,Sustut
SkeenaWild,LTAvg,Smax,Motase,1119,968,631,756,1338,1911,Motase
SkeenaWild,LTAvg,Smax,Slamg,481,481,367,420,552,596,Slamgeesh
SkeenaWild,LTAvg,Smax,Ecstall,NA,NA,NA,NA,NA,NA,Ecstall
SkeenaWild,LTAvg,Smax,Kluant,NA,NA,NA,NA,NA,NA,Kluantantan
SkeenaWild,LTAvg,Smax,Kluayaz,NA,NA,NA,NA,NA,NA,Kluayaz
SkeenaWild,LTAvg,Smax,Sicintine,NA,NA,NA,NA,NA,NA,Sicintine
SkeenaWild,LTAvg,Smax,Skeena RT,NA,NA,NA,NA,NA,NA,Skeena River Type
SkeenaWild,LTAvg,Smax,UBulkLk,NA,NA,NA,NA,NA,NA,Upper Bulkley Lakes
SkeenaWild,Now,Smax,Agg Fit,891859,698856,421366,518738,1039419,1762839,NA
SkeenaWild,Now,Smax,Sum,707831,653077,NA,NA,NA,NA,NA
SkeenaWild,Now,Smax,Sum-Agg,-184028,-45779,NA,NA,NA,NA,NA
SkeenaWild,Now,Smax,Bab-LW,404586,369407,260947,301502,469654,616528,Babine Late Wild
SkeenaWild,Now,Smax,Bab-EW,95569,87099,63689,73867,106109,141178,Babine Early Wild
SkeenaWild,Now,Smax,SwanSteph,43538,39626,27243,32402,51329,66880,Swan/Stephens
SkeenaWild,Now,Smax,Bab-MW,33141,30736,23587,26589,37031,44880,Babine Mid Wild
SkeenaWild,Now,Smax,Kitwanga,27281,25607,8505,13731,39180,48737,Kitwanga
SkeenaWild,Now,Smax,Kitsumk,23255,23009,18772,20488,25807,28282,Kitsumkalum
SkeenaWild,Now,Smax,Lakelse,22146,21527,17561,19256,24105,27390,Lakelse
SkeenaWild,Now,Smax,Alastair,21617,21081,17351,19118,23641,26404,Alastair
SkeenaWild,Now,Smax,Morice,16233,15726,13076,14071,17775,20016,Morice
SkeenaWild,Now,Smax,Bear,6047,5972,5055,5418,6529,7172,Bear
SkeenaWild,Now,Smax,Johnston,5382,5548,4498,4949,5928,6097,Johnston
SkeenaWild,Now,Smax,Mcdonell,3500,3425,2936,3148,3777,4121,Mcdonell
SkeenaWild,Now,Smax,Asitka,2991,1946,1124,1380,3569,6730,Asitka
SkeenaWild,Now,Smax,Sustut,1000,982,794,874,1105,1243,Sustut
SkeenaWild,Now,Smax,Motase,1119,978,636,767,1358,1870,Motase
SkeenaWild,Now,Smax,Slamg,426,408,324,350,493,568,Slamgeesh
SkeenaWild,Now,Smax,Ecstall,NA,NA,NA,NA,NA,NA,Ecstall
SkeenaWild,Now,Smax,Kluant,NA,NA,NA,NA,NA,NA,Kluantantan
SkeenaWild,Now,Smax,Kluayaz,NA,NA,NA,NA,NA,NA,Kluayaz
SkeenaWild,Now,Smax,Sicintine,NA,NA,NA,NA,NA,NA,Sicintine
SkeenaWild,Now,Smax,Skeena RT,NA,NA,NA,NA,NA,NA,Skeena River Type
SkeenaWild,Now,Smax,UBulkLk,NA,NA,NA,NA,NA,NA,Upper Bulkley Lakes
SkeenaWild,LTAvg,Sgen,Agg Fit,NA,NA,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Sgen,Sum,151636,145260,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Sgen,Sum-Agg,NA,NA,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Sgen,Bab-LW,95887,92775,49926,67192,122448,145812,Babine Late Wild
SkeenaWild,LTAvg,Sgen,Bab-EW,19458,17982,11075,13749,22983,30113,Babine Early Wild
SkeenaWild,LTAvg,Sgen,SwanSteph,11178,11191,7458,9166,13157,14908,Swan/Stephens
SkeenaWild,LTAvg,Sgen,Bab-MW,5269,4820,3234,3880,6211,7770,Babine Mid Wild
SkeenaWild,LTAvg,Sgen,Lakelse,4034,3960,3115,3468,4467,5029,Lakelse
SkeenaWild,LTAvg,Sgen,Alastair,3431,3324,2401,2801,3919,4600,Alastair
SkeenaWild,LTAvg,Sgen,Kitsumk,3294,3241,2317,2682,3842,4401,Kitsumkalum
SkeenaWild,LTAvg,Sgen,Kitwanga,3795,2957,1083,1670,5500,7963,Kitwanga
SkeenaWild,LTAvg,Sgen,Morice,2228,2152,1544,1768,2549,3046,Morice
SkeenaWild,LTAvg,Sgen,Johnston,969,1004,731,867,1098,1157,Johnston
SkeenaWild,LTAvg,Sgen,Bear,679,656,451,543,793,938,Bear
SkeenaWild,LTAvg,Sgen,Mcdonell,508,496,352,423,572,680,Mcdonell
SkeenaWild,LTAvg,Sgen,Asitka,538,366,189,258,672,1174,Asitka
SkeenaWild,LTAvg,Sgen,Motase,191,163,79,110,250,344,Motase
SkeenaWild,LTAvg,Sgen,Slamg,88,87,48,66,107,135,Slamgeesh
SkeenaWild,LTAvg,Sgen,Sustut,89,86,40,56,118,142,Sustut
SkeenaWild,LTAvg,Sgen,Ecstall,NA,NA,NA,NA,NA,NA,Ecstall
SkeenaWild,LTAvg,Sgen,Kluant,NA,NA,NA,NA,NA,NA,Kluantantan
SkeenaWild,LTAvg,Sgen,Kluayaz,NA,NA,NA,NA,NA,NA,Kluayaz
SkeenaWild,LTAvg,Sgen,Sicintine,NA,NA,NA,NA,NA,NA,Sicintine
SkeenaWild,LTAvg,Sgen,Skeena RT,NA,NA,NA,NA,NA,NA,Skeena River Type
SkeenaWild,LTAvg,Sgen,UBulkLk,NA,NA,NA,NA,NA,NA,Upper Bulkley Lakes
SkeenaWild,Now,Sgen,Agg Fit,NA,NA,NA,NA,NA,NA,NA
SkeenaWild,Now,Sgen,Sum,114535,106655,NA,NA,NA,NA,NA
SkeenaWild,Now,Sgen,Sum-Agg,NA,NA,NA,NA,NA,NA,NA
SkeenaWild,Now,Sgen,Bab-LW,69857,64408,43554,52175,82253,104437,Babine Late Wild
SkeenaWild,Now,Sgen,Bab-EW,14188,13584,7487,10920,16833,21110,Babine Early Wild
SkeenaWild,Now,Sgen,SwanSteph,6756,6336,3770,5082,8127,10572,Swan/Stephens
SkeenaWild,Now,Sgen,Bab-MW,5706,5304,3536,4244,6771,8330,Babine Mid Wild
SkeenaWild,Now,Sgen,Lakelse,3719,3726,2590,3164,4257,4832,Lakelse
SkeenaWild,Now,Sgen,Kitsumk,3391,3295,2081,2536,4198,4905,Kitsumkalum
SkeenaWild,Now,Sgen,Alastair,2948,2932,1378,2050,3750,4473,Alastair
SkeenaWild,Now,Sgen,Kitwanga,3056,2462,825,1435,4066,6584,Kitwanga
SkeenaWild,Now,Sgen,Morice,2166,2093,1383,1668,2558,3088,Morice
SkeenaWild,Now,Sgen,Johnston,820,814,520,653,1032,1125,Johnston
SkeenaWild,Now,Sgen,Bear,555,527,322,408,672,832,Bear
SkeenaWild,Now,Sgen,Mcdonell,506,495,359,425,568,665,Mcdonell
SkeenaWild,Now,Sgen,Asitka,519,360,183,250,619,1134,Asitka
SkeenaWild,Now,Sgen,Motase,192,164,78,116,249,348,Motase
SkeenaWild,Now,Sgen,Sustut,87,86,37,56,115,139,Sustut
SkeenaWild,Now,Sgen,Slamg,69,69,24,46,89,112,Slamgeesh
SkeenaWild,Now,Sgen,Ecstall,NA,NA,NA,NA,NA,NA,Ecstall
SkeenaWild,Now,Sgen,Kluant,NA,NA,NA,NA,NA,NA,Kluantantan
