MU,Stock,Gen,UpTo,nObs,GenAvg,LBM,UBM,RatioLBM,RatioUBM,MetricStatus,MetricScore
SkeenaWild,Babine Mid Wild,5,2016,5,30425,4820,13796,6.31,2.21,Green,3
SkeenaWild,Asitka,5,2016,5,1611,366,671,4.4,2.4,Green,3
SkeenaWild,Kitsumkalum,5,2016,5,29239,3241,11699,9.02,2.5,Green,3
SkeenaWild,Alastair,5,2016,5,28883,3324,9248,8.69,3.12,Green,3
SkeenaWild,Bear,5,2016,5,11926,656,3592,18.18,3.32,Green,3
SkeenaWild,Mcdonell,5,2016,5,5904,496,1748,11.9,3.38,Green,3
SkeenaWild,Lakelse,5,2016,5,26332,3960,7161,6.65,3.68,Green,3
Nass,Upper Nass River Type,4,2016,4,832,NA,NA,NA,NA,None,0
Nass,Bowser,5,2016,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,2016,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Johnston,5,2016,0,NA,1004,2380,NA,NA,None,0
SkeenaWild,Ecstall,5,2016,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,2016,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,2016,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluantantan,5,2016,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,2016,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,2016,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Motase,5,2017,4,151,163,406,0.93,0.37,Red,1
SkeenaWild,Kitwanga,4,2017,4,2235,2957,4764,0.76,0.47,Red,1
SkeenaWild,Babine Late Wild,5,2017,5,100718,92775,196144,1.09,0.51,Amber,2
SkeenaWild,Swan/Stephens,5,2017,5,9019,11191,16747,0.81,0.54,Red,1
Nass,Lower Nass Sea & River Type,4,2017,4,24428,18270,35288,1.34,0.69,Amber,2
SkeenaWild,Babine Early Wild,5,2017,5,25531,17982,34350,1.42,0.74,Amber,2
Nass,Kwinageese,4,2017,4,4586,1899,6066,2.41,0.76,Amber,2
Nass,Damdochax,5,2017,5,3628,871,3554,4.17,1.02,Green,3
Nass,Meziadin,5,2017,5,143126,32713,124460,4.38,1.15,Green,3
SkeenaWild,Asitka,5,2017,5,1045,366,671,2.86,1.56,Green,3
SkeenaWild,Babine Mid Wild,5,2017,5,23170,4820,13796,4.81,1.68,Green,3
SkeenaWild,Slamgeesh,4,2017,4,473,87,213,5.44,2.22,Green,3
SkeenaWild,Morice,5,2017,5,18619,2152,8318,8.65,2.24,Green,3
SkeenaWild,Kitsumkalum,5,2017,5,26915,3241,11699,8.3,2.3,Green,3
SkeenaWild,Sustut,5,2017,5,1499,86,614,17.43,2.44,Green,3
SkeenaWild,Alastair,5,2017,5,23815,3324,9248,7.16,2.58,Green,3
SkeenaWild,Lakelse,5,2017,5,22483,3960,7161,5.68,3.14,Green,3
SkeenaWild,Bear,5,2017,5,13107,656,3592,19.98,3.65,Green,3
SkeenaWild,Mcdonell,5,2017,5,6642,496,1748,13.39,3.8,Green,3
Nass,Upper Nass River Type,4,2017,4,673,NA,NA,NA,NA,None,0
Nass,Bowser,5,2017,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,2017,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Johnston,5,2017,0,NA,1004,2380,NA,NA,None,0
SkeenaWild,Ecstall,5,2017,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,2017,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,2017,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluantantan,5,2017,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,2017,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,2017,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kitwanga,4,2018,4,1271,2957,4764,0.43,0.27,Red,1
SkeenaWild,Motase,5,2018,5,173,163,406,1.06,0.43,Amber,2
SkeenaWild,Swan/Stephens,5,2018,5,9368,11191,16747,0.84,0.56,Red,1
Nass,Kwinageese,4,2018,4,4137,1899,6066,2.18,0.68,Amber,2
SkeenaWild,Babine Late Wild,5,2018,5,138165,92775,196144,1.49,0.7,Amber,2
SkeenaWild,Babine Early Wild,5,2018,5,27125,17982,34350,1.51,0.79,Amber,2
Nass,Lower Nass Sea & River Type,4,2018,4,28965,18270,35288,1.59,0.82,Amber,2
SkeenaWild,Johnston,5,2018,1,2344,1004,2380,2.33,0.98,Amber,2
Nass,Meziadin,5,2018,5,127831,32713,124460,3.91,1.03,Green,3
Nass,Damdochax,5,2018,5,4181,871,3554,4.8,1.18,Green,3
SkeenaWild,Babine Mid Wild,5,2018,5,18693,4820,13796,3.88,1.35,Green,3
SkeenaWild,Alastair,5,2018,5,15247,3324,9248,4.59,1.65,Green,3
SkeenaWild,Asitka,5,2018,5,1206,366,671,3.3,1.8,Green,3
SkeenaWild,Slamgeesh,4,2018,4,452,87,213,5.2,2.12,Green,3
SkeenaWild,Kitsumkalum,5,2018,5,27492,3241,11699,8.48,2.35,Green,3
SkeenaWild,Sustut,5,2018,5,1595,86,614,18.55,2.6,Green,3
SkeenaWild,Lakelse,5,2018,5,18849,3960,7161,4.76,2.63,Green,3
SkeenaWild,Morice,5,2018,5,22097,2152,8318,10.27,2.66,Green,3
SkeenaWild,Mcdonell,5,2018,5,6680,496,1748,13.47,3.82,Green,3
SkeenaWild,Bear,5,2018,5,15624,656,3592,23.82,4.35,Green,3
Nass,Upper Nass River Type,4,2018,4,161,NA,NA,NA,NA,None,0
Nass,Bowser,5,2018,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,2018,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Ecstall,5,2018,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,2018,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,2018,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluantantan,5,2018,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,2018,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,2018,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kitwanga,4,2019,4,515,2957,4764,0.17,0.11,Red,1
SkeenaWild,Johnston,5,2019,2,810,1004,2380,0.81,0.34,Red,1
SkeenaWild,Motase,5,2019,5,193,163,406,1.18,0.48,Amber,2
SkeenaWild,Babine Late Wild,5,2019,5,126456,92775,196144,1.36,0.64,Amber,2
SkeenaWild,Babine Early Wild,5,2019,5,21905,17982,34350,1.22,0.64,Amber,2
Nass,Kwinageese,4,2019,4,3975,1899,6066,2.09,0.66,Amber,2
SkeenaWild,Swan/Stephens,5,2019,5,11294,11191,16747,1.01,0.67,Amber,2
Nass,Lower Nass Sea & River Type,4,2019,4,30503,18270,35288,1.67,0.86,Amber,2
Nass,Meziadin,5,2019,5,115727,32713,124460,3.54,0.93,Amber,2
Nass,Damdochax,5,2019,5,3464,871,3554,3.98,0.97,Amber,2
SkeenaWild,Babine Mid Wild,5,2019,5,17470,4820,13796,3.62,1.27,Green,3
SkeenaWild,Alastair,5,2019,5,12507,3324,9248,3.76,1.35,Green,3
SkeenaWild,Asitka,5,2019,5,930,366,671,2.54,1.39,Green,3
SkeenaWild,Slamgeesh,4,2019,3,319,87,213,3.67,1.5,Green,3
SkeenaWild,Kitsumkalum,5,2019,4,27542,3241,11699,8.5,2.35,Green,3
SkeenaWild,Lakelse,5,2019,5,17993,3960,7161,4.54,2.51,Green,3
SkeenaWild,Morice,5,2019,5,23841,2152,8318,11.08,2.87,Green,3
SkeenaWild,Sustut,5,2019,5,1911,86,614,22.22,3.11,Green,3
SkeenaWild,Bear,5,2019,5,13237,656,3592,20.18,3.69,Green,3
SkeenaWild,Mcdonell,5,2019,5,6664,496,1748,13.44,3.81,Green,3
Nass,Upper Nass River Type,4,2019,4,200,NA,NA,NA,NA,None,0
Nass,Bowser,5,2019,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,2019,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Ecstall,5,2019,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,2019,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,2019,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluantantan,5,2019,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,2019,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,2019,0,NA,NA,NA,NA,NA,None,0
